seed,learning_rate,num_cells,num_layers,embd_size,drop_prob,training_steps,valid_steps,n_max_train,n_test,init_scheme,init_scale,converged,steps_to_converge,final_train_mean_acc,final_loss,success_n,elapsed_sec,fp_row,fp_len,fp_counter_cell,fp_corr,fp_corr_sign,fp_fg_a,fp_ig_a,fp_og_a,fp_fg_b,fp_ig_b,fp_og_b,fp_code,config_id,cfg_init_scale,cfg_init_scheme,cfg_learning_rate,cfg_num_cells,cfg_num_layers
0,0.005,2,1,4,0.1,2000,50,10,100,pytorch_default,1.0,True,700,100.0,0.3677310645580292,21,27.866260051727295,8,18,0,0.9227179288864136,1,0.9903150796890259,0.9656533002853394,0.9908280968666077,0.982923150062561,0.9894249439239502,0.945568323135376,cell0_sign1_fgH,0,1.0,pytorch_default,0.005,2,1
1,0.005,2,1,4,0.1,2000,50,10,100,pytorch_default,1.0,True,550,100.0,0.3436652421951294,15,20.321664571762085,8,18,0,0.9380055665969849,1,0.999177098274231,0.9516156315803528,0.9975001811981201,0.9972896575927734,0.9948455095291138,0.9953632950782776,cell0_sign1_fgH,0,1.0,pytorch_default,0.005,2,1
2,0.005,2,1,4,0.1,2000,50,10,100,pytorch_default,1.0,False,-1,95.01984405517578,0.4498331844806671,2,73.81374859809875,8,18,1,0.9096177220344543,1,0.9799605011940002,0.9521812796592712,0.9819897413253784,0.7616416215896606,0.007157101295888424,0.9933324456214905,cell1_sign1_fgH,0,1.0,pytorch_default,0.005,2,1
3,0.005,2,1,4,0.1,2000,50,10,100,pytorch_default,1.0,True,1500,100.0,0.4714260697364807,24,55.1190550327301,8,18,1,0.9315010905265808,1,0.9923743605613708,0.9937397241592407,0.9788650274276733,0.9879292249679565,0.9900929927825928,0.9178978204727173,cell1_sign1_fgH,0,1.0,pytorch_default,0.005,2,1
4,0.005,2,1,4,0.1,2000,50,10,100,pytorch_default,1.0,True,550,100.0,0.3644591271877289,15,20.654078245162964,8,18,0,-0.9374980926513672,-1,0.9936337471008301,0.8866537809371948,0.7707144021987915,0.9980946183204651,0.9920207262039185,0.8886935114860535,cell0_sign-1_fgH,0,1.0,pytorch_default,0.005,2,1
0,0.005,2,2,4,0.1,2000,50,10,100,pytorch_default,1.0,False,-1,92.86418914794922,0.4001865088939667,-1,117.34214925765991,8,18,0,0.634612500667572,1,0.9926403164863586,0.996771514415741,0.9946081042289734,0.5107905864715576,0.20300917327404022,0.39759761095046997,cell0_sign1_fgM,1,1.0,pytorch_default,0.005,2,2
1,0.005,2,2,4,0.1,2000,50,10,100,pytorch_default,1.0,False,-1,93.50468444824219,0.48274096846580505,1,116.58113837242126,8,18,1,0.8184173107147217,1,0.9981387257575989,0.9707919359207153,0.9974196553230286,0.5581334233283997,0.3251352906227112,0.283968985080719,cell1_sign1_fgM,1,1.0,pytorch_default,0.005,2,2
2,0.005,2,2,4,0.1,2000,50,10,100,pytorch_default,1.0,False,-1,82.48540496826172,0.5782845616340637,-1,1431.523347377777,8,18,1,0.42624661326408386,1,0.3727693259716034,0.8995816111564636,0.6966443657875061,0.937920331954956,0.960276186466217,0.9906542301177979,cell1_sign1_fgL,1,1.0,pytorch_default,0.005,2,2
3,0.005,2,2,4,0.1,2000,50,10,100,pytorch_default,1.0,False,-1,93.50468444824219,0.4376903474330902,1,113.63502669334412,8,18,1,-0.548823893070221,-1,0.9942963123321533,0.9997792840003967,0.9985452890396118,0.05585438758134842,0.09474518150091171,0.19145913422107697,cell1_sign-1_fgL,1,1.0,pytorch_default,0.005,2,2
4,0.005,2,2,4,0.1,2000,50,10,100,pytorch_default,1.0,True,500,100.0,0.4329686462879181,13,31.36494493484497,8,18,0,-0.9345782399177551,-1,0.9984235167503357,0.9102614521980286,0.9875127673149109,0.9970097541809082,0.9924530982971191,0.9769812822341919,cell0_sign-1_fgH,1,1.0,pytorch_default,0.005,2,2
0,0.005,4,1,4,0.1,2000,50,10,100,pytorch_default,1.0,True,300,100.0,0.41894975304603577,14,12.02766489982605,8,18,0,0.9416370391845703,1,0.9862364530563354,0.8261306285858154,0.9580624103546143,0.971139132976532,0.9157106876373291,0.9839348793029785,cell0_sign1_fgH,2,1.0,pytorch_default,0.005,4,1
1,0.005,4,1,4,0.1,2000,50,10,100,pytorch_default,1.0,True,450,100.0,0.4023669958114624,17,17.515748739242554,8,18,0,0.9419781565666199,1,0.9969229102134705,0.9075044393539429,0.9841704964637756,0.9961215257644653,0.981689989566803,0.9942478537559509,cell0_sign1_fgH,2,1.0,pytorch_default,0.005,4,1
2,0.005,4,1,4,0.1,2000,50,10,100,pytorch_default,1.0,True,450,100.0,0.3663029074668884,13,17.768234252929688,8,18,0,-0.9343668818473816,-1,0.9823327660560608,0.8262903690338135,0.2625056505203247,0.9724642038345337,0.893124520778656,0.9867050051689148,cell0_sign-1_fgH,2,1.0,pytorch_default,0.005,4,1
3,0.005,4,1,4,0.1,2000,50,10,100,pytorch_default,1.0,True,400,100.0,0.3599701225757599,15,15.84597373008728,8,18,0,0.9362010955810547,1,0.9872088432312012,0.7004536986351013,0.9361670017242432,0.9937636852264404,0.6973676681518555,0.998587965965271,cell0_sign1_fgH,2,1.0,pytorch_default,0.005,4,1
4,0.005,4,1,4,0.1,2000,50,10,100,pytorch_default,1.0,True,450,100.0,0.31863510608673096,16,17.844054222106934,8,18,2,-0.9403893947601318,-1,0.9908196330070496,0.941121518611908,0.9643051028251648,0.995898962020874,0.9653794765472412,0.9966866374015808,cell2_sign-1_fgH,2,1.0,pytorch_default,0.005,4,1
0,0.005,4,2,4,0.1,2000,50,10,100,pytorch_default,1.0,True,300,100.0,0.4347791373729706,14,19.155062913894653,8,18,2,0.8199032545089722,1,0.9265635013580322,0.9192157983779907,0.9361101388931274,0.7440526485443115,0.9502182602882385,0.9301760792732239,cell2_sign1_fgH,3,1.0,pytorch_default,0.005,4,2
1,0.005,4,2,4,0.1,2000,50,10,100,pytorch_default,1.0,True,900,100.0,0.2875005900859833,11,58.175220251083374,8,18,0,0.6208971738815308,1,0.9501947164535522,0.965480387210846,0.9773019552230835,0.8522112369537354,0.8078975677490234,0.70380699634552,cell0_sign1_fgH,3,1.0,pytorch_default,0.005,4,2
2,0.005,4,2,4,0.1,2000,50,10,100,pytorch_default,1.0,True,600,100.0,0.3072155714035034,12,37.5270574092865,8,18,2,0.5661144256591797,1,0.9697078466415405,0.8893833756446838,0.9970452785491943,0.13769122958183289,0.6188129782676697,0.4235934615135193,cell2_sign1_fgL,3,1.0,pytorch_default,0.005,4,2
3,0.005,4,2,4,0.1,2000,50,10,100,pytorch_default,1.0,True,700,100.0,0.3770991265773773,12,42.17444586753845,8,18,0,-0.9320418834686279,-1,0.9776945114135742,0.9113374948501587,0.9781427979469299,0.7792248725891113,0.7795788049697876,0.05020199716091156,cell0_sign-1_fgH,3,1.0,pytorch_default,0.005,4,2
4,0.005,4,2,4,0.1,2000,50,10,100,pytorch_default,1.0,True,400,100.0,0.31774482131004333,14,24.562773942947388,8,18,0,0.933386504650116,1,0.9985103607177734,0.8947157859802246,0.8955373167991638,0.9977496266365051,0.8882432579994202,0.9380670189857483,cell0_sign1_fgH,3,1.0,pytorch_default,0.005,4,2
0,0.005,8,1,4,0.1,2000,50,10,100,pytorch_default,1.0,True,300,100.0,0.2652148902416229,14,11.525989055633545,8,18,2,0.9398512244224548,1,0.9807955622673035,0.9534699320793152,0.9930148124694824,0.9804068803787231,0.8531656265258789,0.9977850914001465,cell2_sign1_fgH,4,1.0,pytorch_default,0.005,8,1
1,0.005,8,1,4,0.1,2000,50,10,100,pytorch_default,1.0,True,200,100.0,0.33525219559669495,14,7.922077655792236,8,18,0,-0.9396052956581116,-1,0.9741636514663696,0.9226411581039429,0.9762466549873352,0.9916703104972839,0.9404891729354858,0.9867656826972961,cell0_sign-1_fgH,4,1.0,pytorch_default,0.005,8,1
2,0.005,8,1,4,0.1,2000,50,10,100,pytorch_default,1.0,True,300,100.0,0.28244251012802124,15,11.539003610610962,8,18,7,0.9310503005981445,1,0.993131697177887,0.7983006238937378,0.9668067693710327,0.977676510810852,0.936488151550293,0.9904837608337402,cell7_sign1_fgH,4,1.0,pytorch_default,0.005,8,1
3,0.005,8,1,4,0.1,2000,50,10,100,pytorch_default,1.0,True,200,100.0,0.2770546078681946,14,8.059932470321655,8,18,7,-0.9292615056037903,-1,0.9567468762397766,0.782608687877655,0.8711475729942322,0.7350895404815674,0.15378449857234955,0.9649110436439514,cell7_sign-1_fgH,4,1.0,pytorch_default,0.005,8,1
4,0.005,8,1,4,0.1,2000,50,10,100,pytorch_default,1.0,True,200,100.0,0.2960551083087921,14,8.035634994506836,8,18,7,0.9248072504997253,1,0.9745153188705444,0.8674378395080566,0.966051459312439,0.9940248727798462,0.9872269034385681,0.9981564879417419,cell7_sign1_fgH,4,1.0,pytorch_default,0.005,8,1
0,0.005,8,2,4,0.1,2000,50,10,100,pytorch_default,1.0,True,300,100.0,0.3318300247192383,13,18.54633665084839,8,18,6,-0.6902272701263428,-1,0.8279106616973877,0.5206999778747559,0.9392481446266174,0.6472030878067017,0.8034096956253052,0.9134520292282104,cell6_sign-1_fgM,5,1.0,pytorch_default,0.005,8,2
1,0.005,8,2,4,0.1,2000,50,10,100,pytorch_default,1.0,True,200,100.0,0.32875728607177734,14,12.565660953521729,8,18,3,0.8204541802406311,1,0.9814351201057434,0.31429779529571533,0.6617212295532227,0.8091742396354675,0.7064377069473267,0.8850053548812866,cell3_sign1_fgH,5,1.0,pytorch_default,0.005,8,2
2,0.005,8,2,4,0.1,2000,50,10,100,pytorch_default,1.0,True,300,100.0,0.294256329536438,15,18.211432933807373,8,18,3,-0.870270848274231,-1,0.8925029635429382,0.8390389680862427,0.8980575799942017,0.8462064266204834,0.4586153030395508,0.9244477152824402,cell3_sign-1_fgH,5,1.0,pytorch_default,0.005,8,2
