cfg_init_scale,cfg_init_scheme,cfg_learning_rate,cfg_num_cells,cfg_num_layers,n_runs,success_n_mean,success_n_std,converged_rate,steps_to_converge_mean,steps_to_converge_std,final_loss_mean,final_loss_std,final_train_acc_mean,final_train_acc_std,fp_mode_code,fp_mode_frac
1.0,xavier_normal,0.1,8,2,5,61.4,36.10817082046666,1.0,110.0,65.19202405202648,0.24631332755088806,0.03286723639919006,100.0,0.0,cell3_sign1_fgM,0.2
1.0,orthogonal_recurrent_xavier,0.1,8,1,5,50.0,35.26329536501091,1.0,100.0,61.237243569579455,0.26056528091430664,0.03005336065228998,100.0,0.0,cell3_sign1_fgH,0.2
1.0,pytorch_default,0.1,4,2,5,47.6,40.327410033375564,1.0,320.0,228.0350850198276,0.2798344254493713,0.013119603567615932,100.0,0.0,cell3_sign-1_fgH,0.2
1.0,small_normal,0.1,4,1,5,47.0,32.92415526630866,1.0,200.0,127.47548783981962,0.29079337418079376,0.06555173289641537,100.0,0.0,cell2_sign1_fgH,0.2
1.0,orthogonal_recurrent_xavier,0.1,4,2,5,41.6,35.061374759127744,1.0,130.0,27.386127875258307,0.3300546109676361,0.04550692683661522,100.0,0.0,cell3_sign-1_fgL,0.2
1.0,xavier_uniform,0.05,4,2,5,40.4,34.65977495599185,1.0,210.0,124.49899597988733,0.3133208990097046,0.028366114400091708,100.0,0.0,cell2_sign1_fgH,0.4
1.0,orthogonal_recurrent_xavier,0.05,4,2,5,39.4,35.7603131977336,1.0,220.0,57.008771254956905,0.32475414872169495,0.04778438889606092,100.0,0.0,cell0_sign-1_fgL,0.2
1.0,small_normal,0.1,8,2,5,37.6,12.116104984688768,1.0,130.0,67.08203932499369,0.28770498633384706,0.03422008720705576,100.0,0.0,cell7_sign1_fgL,0.4
1.0,orthogonal_recurrent_xavier,0.05,8,2,5,35.4,21.927152117865194,1.0,100.0,35.35533905932738,0.30925822257995605,0.05437408981385147,100.0,0.0,cell7_sign1_fgH,0.2
1.0,xavier_normal,0.1,8,1,5,34.6,24.06865181101758,1.0,130.0,97.46794344808964,0.27925613820552825,0.04204050051566404,100.0,0.0,cell1_sign1_fgH,0.2
1.0,xavier_normal,0.1,4,2,5,34.2,37.88403357616504,1.0,580.0,621.0877554742164,0.32128978371620176,0.047457959425239234,100.0,0.0,cell0_sign1_fgL,0.4
1.0,xavier_normal,0.05,8,1,5,31.6,15.00999666888704,1.0,90.0,41.83300132670378,0.2945862770080566,0.03409565431118496,100.0,0.0,cell6_sign-1_fgH,0.2
1.0,pytorch_default,0.1,8,2,5,30.8,31.649644547767043,1.0,80.0,44.721359549995796,0.32519087195396423,0.035486191347371666,100.0,0.0,cell1_sign1_fgM,0.2
1.0,orthogonal_recurrent_xavier,0.05,8,1,5,29.8,25.694357357209775,1.0,90.0,65.19202405202648,0.3243101894855499,0.07751970592204942,100.0,0.0,cell4_sign1_fgH,0.2
1.0,xavier_uniform,0.1,8,2,5,29.4,20.97140910859354,1.0,80.0,27.386127875258307,0.28741350769996643,0.09388928870153482,100.0,0.0,cell4_sign-1_fgH,0.2
1.0,xavier_normal,0.05,8,2,5,29.0,28.222331583340168,1.0,90.0,41.83300132670378,0.32382904887199404,0.03001608332908184,100.0,0.0,cell6_sign-1_fgM,0.2
1.0,xavier_uniform,0.1,4,2,5,29.0,16.0312195418814,1.0,320.0,439.6020928066653,0.27450135350227356,0.04827651087924002,100.0,0.0,cell2_sign1_fgL,0.2
1.0,orthogonal_recurrent_xavier,0.1,8,2,5,24.4,12.934450123604018,1.0,90.0,65.19202405202648,0.30465297400951385,0.05160664209263028,100.0,0.0,cell7_sign1_fgL,0.2
1.0,xavier_normal,0.05,4,2,5,24.2,10.059821071967434,1.0,330.0,225.27760652137619,0.35540591180324554,0.08978886605786005,100.0,0.0,cell2_sign1_fgH,0.4
1.0,small_normal,0.1,8,1,5,24.0,7.44983221287567,1.0,140.0,108.39741694339399,0.2727673053741455,0.01281354037603942,100.0,0.0,cell0_sign-1_fgH,0.2
1.0,xavier_uniform,0.1,8,1,5,23.8,15.927962832703999,1.0,70.0,27.386127875258307,0.2798378705978394,0.03150714460116717,100.0,0.0,cell2_sign-1_fgH,0.2
1.0,small_normal,0.05,4,1,5,23.4,11.545561917897285,1.0,110.0,22.360679774997898,0.34085277915000917,0.055481549962511076,100.0,0.0,cell2_sign1_fgH,0.4
1.0,xavier_uniform,0.05,8,2,5,21.8,8.197560612767678,1.0,80.0,27.386127875258307,0.3340609848499298,0.09759294886921244,100.0,0.0,cell2_sign1_fgH,0.2
1.0,xavier_uniform,0.05,2,1,5,21.8,10.802777420645118,1.0,690.0,432.145808726638,0.367109888792038,0.08137404898432883,100.0,0.0,cell0_sign-1_fgH,0.4
1.0,small_normal,0.05,8,1,5,21.2,13.349157276772193,1.0,90.0,41.83300132670377,0.2982138991355896,0.030838800406697443,100.0,0.0,cell2_sign-1_fgH,0.4
1.0,xavier_normal,0.01,4,2,5,21.2,5.805170109479997,1.0,490.0,108.39741694339399,0.355455207824707,0.08953621386287379,100.0,0.0,cell3_sign-1_fgL,0.2
1.0,pytorch_default,0.1,2,1,5,21.2,39.251751553274666,0.4,99.4,154.59721860369933,0.3815416872501373,0.05576682922276108,96.00639495849609,3.9600609929046455,cell1_sign1_fgH,0.4
1.0,pytorch_default,0.05,8,2,5,21.0,5.656854249492381,1.0,90.0,41.83300132670378,0.3019423305988312,0.03889167715438431,100.0,0.0,cell1_sign1_fgM,0.2
1.0,xavier_normal,0.1,4,1,5,21.0,10.173494974687904,1.0,300.0,297.9093821953246,0.28081314265727997,0.05193843328613361,100.0,0.0,cell3_sign1_fgH,0.4
1.0,small_normal,0.05,2,1,5,20.4,15.274161188098024,0.8,409.8,439.5511346817342,0.3766145646572113,0.04533541710148842,99.01515045166016,2.2021905376978554,cell0_sign-1_fgH,0.6
1.0,pytorch_default,0.1,4,1,5,20.0,11.640446726822816,1.0,560.0,529.6225070746144,0.31076769828796386,0.02074411056531523,100.0,0.0,cell2_sign1_fgM,0.2
1.0,small_normal,0.05,2,2,5,19.8,32.44533864825578,0.6,569.6,722.8902406313147,0.4127244770526886,0.0630193487553732,96.3274932861328,5.028786924435574,cell0_sign-1_fgL,0.4
